Lote,Semana_prod,Peso_gr,Muertos,Descartes,Iniciador_bolsas,Terminador_bolsas
1,1,118.0,84,0,42.0,0.0
1,2,198.0,38,0,85.0,0.0
1,3,439.0,35,0,106.0,0.0
1,4,746.0,18,0,59.0,55.0
1,5,1101.0,21,0,0.0,172.0
1,6,1602.0,25,0,0.0,209.0
1,7,2225.0,51,0,0.0,249.0
1,8,2807.0,27,0,0.0,232.0
1,9,3300.0,39,0,0.0,155.0
1,10,3650.0,25,0,0.0,79.0
1,11,3900.0,82,0,0.0,46.0
1,12,4100.0,83,0,0.0,0.0
1,13,4150.0,0,0,0.0,0.0
2,1,75.0,93,0,39.0,0.0
2,2,104.0,40,0,72.0,0.0
2,3,168.0,30,0,79.0,0.0
2,4,224.0,4,0,106.0,0.0
2,5,445.0,7,0,59.0,25.0
2,6,610.0,11,0,0.0,140.0
2,7,945.0,22,0,0.0,207.0
2,8,1182.0,110,0,0.0,186.0
2,9,1500.0,370,0,0.0,185.0
2,10,1955.0,99,0,0.0,175.0
2,11,2187.0,37,0,67.0,94.0
2,12,2300.0,26,0,0.0,157.0
2,13,2500.0,13,0,0.0,132.0
3,1,144.0,72,0,35.0,0.0
3,2,188.0,16,0,60.0,0.0
3,3,339.0,32,0,90.0,0.0
3,4,781.0,70,0,97.0,39.0
3,5,1200.0,3,0,0.0,217.0
3,6,1385.0,2,0,0.0,258.0
3,7,1910.0,3,0,0.0,112.0
3,8,2300.0,14,20,0.0,70.0
3,9,2700.0,75,15,0.0,223.0
3,10,2900.0,3,19,0.0,147.0
3,11,3000.0,3,0,0.0,87.0
3,12,3150.0,15,0,0.0,68.0
3,13,3300.0,14,20,0.0,42.0
4,1,70.0,66,1,17.0,0.0
4,2,85.0,70,30,19.0,0.0
4,3,105.0,91,59,12.0,0.0
4,4,148.0,53,21,26.0,0.0
4,5,240.0,30,26,26.0,30.0
4,6,484.0,84,48,34.0,10.0
4,7,843.0,64,33,21.0,58.0
4,8,1600.0,27,23,0.0,100.0
4,9,2300.0,32,10,0.0,149.0
4,10,3300.0,38,25,44.0,80.0
4,11,3800.0,44,29,0.0,70.0
4,12,4300.0,23,10,14.0,50.0
4,13,4500.0,5,0,32.0,0.0
5,1,242.0,25,0,37.0,0.0
5,2,392.0,16,1,41.0,1.0
5,3,467.0,9,0,41.0,20.0
5,4,900.0,7,0,35.0,56.0
5,5,1500.0,3,2,16.0,67.0
5,6,2000.0,4,0,0.0,126.0
5,7,2300.0,9,0,73.0,0.0
5,8,2800.0,25,0,75.0,33.0
5,9,3300.0,0,0,0.0,107.0
5,10,3350.0,0,0,0.0,73.0
5,11,3700.0,8,0,0.0,41.0
5,12,4250.0,0,0,0.0,14.0
5,13,4500.0,5,0,0.0,12.0
6,1,92.0,81,27,29.0,0.0
6,2,238.0,58,21,59.0,0.0
6,3,499.0,34,34,74.0,0.0
6,4,1090.0,24,30,52.0,93.0
6,5,1256.0,4,4,0.0,161.0
6,6,2626.0,176,29,0.0,206.0
6,7,3391.0,6,0,0.0,153.0
6,8,3720.0,7,4,0.0,113.0
6,9,4010.0,6,0,0.0,142.0
6,10,4230.0,4,0,0.0,113.0
6,11,4380.0,0,0,0.0,22.0
6,12,4460.0,1,27,0.0,30.0
6,13,4480.0,0,0,0.0,18.0
9,1,100.6,45,1,26.0,0.0
9,2,226.6,12,10,67.0,0.0
9,3,575.8,29,14,107.0,0.0
9,4,1066.0,35,12,87.0,36.0
